"FOLIO","VIV_SEL","HOGAR","N_REN","P6_1_01","P6_1_02","P6_1_03","P6_1_04","P6_1_05","P6_1_06","P6_1_07","P6_1_08","P6_1_09","P6_1_10","P6_2_1","P6_3A_1","P6_3B_1","P6_3C_1","P6_3D_1","P6_2_2","P6_3A_2","P6_3B_2","P6_3C_2","P6_3D_2","P6_2_3","P6_3A_3","P6_3B_3","P6_3C_3","P6_3D_3","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_5_1","P6_5_2","P6_5_3","P6_5_4","P6_5_5","P6_6_1","P6_6_2","P6_6_3","P6_6_4","P6_6_5","P6_6_6","P6_6_7","P6_6_8","P6_6_9","EST_DIS","UPM_DIS","FACTOR"
"0200612","01","1","02","1","1","2","2","2","2","2","2","2","2","1","2","2","2","4","1","2","2","2","2","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","020","0000257",2511
"0200766","03","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","021","0000263",2569
"0200845","01","1","05","1","1","2","2","2","2","2","2","2","2","3","2","2","2","4","3","2","2","2","2","","","","","","2","2","1","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","020","0000267",3574
"0200997","04","1","03","1","1","2","2","2","2","2","2","2","2","2","3","2","2","4","3","3","3","1","2","","","","","","2","2","1","1","2","1","2","2","2","1","2","2","2","2","2","2","2","2","017","0000273",2698
"0200997","05","1","03","1","2","2","2","2","2","2","2","2","2","1","1","1","1","2","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","017","0000273",2752
"0201430","03","1","02","1","1","2","2","2","2","2","2","2","2","2","2","1","1","3","3","1","2","2","1","","","","","","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","1","2","2","017","0000287",1839
"0202434","03","1","03","1","2","2","2","2","2","2","2","2","2","1","2","1","1","1","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","018","0000325",3543
"0202475","01","1","02","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","018","0000327",2649
"0202587","01","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","2","2","2","017","0000328",3087
"0202619","05","1","05","2","2","2","2","1","2","2","2","2","2","","","","","","","","","","","3","4","4","4","4","2","2","2","2","1","1","2","2","1","2","2","1","2","2","1","2","2","2","016","0000330",4350
"0202798","02","1","04","1","1","2","2","2","2","2","2","2","2","2","2","1","2","4","2","1","1","2","4","","","","","","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","016","0000336",3777
"0203153","01","1","02","1","2","2","2","2","2","2","2","2","2","3","1","1","2","4","","","","","","","","","","","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","012","0000340",1073
"0203299","02","1","03","2","1","2","2","2","2","2","2","2","2","","","","","","1","2","1","1","2","","","","","","2","2","2","1","2","2","1","2","1","2","2","2","2","1","1","2","2","2","011","0000346",2221
"0203566","02","1","02","1","1","2","2","2","2","2","2","2","2","3","1","1","2","3","3","3","1","4","4","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","012","0000362",1797
"0203579","03","1","04","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","012","0000363",3737
"0203665","03","1","03","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","1","1","2","2","2","012","0000364",2685
"0203740","03","1","08","1","2","2","2","2","2","2","2","2","2","3","4","4","4","4","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","012","0000366",11515
"0203983","01","1","04","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","3","3","3","3","4","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","011","0000373",3124
"0204514","05","1","03","1","2","2","2","2","2","2","2","2","2","3","4","4","4","4","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","011","0000387",879
"0204601","05","1","04","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","2","1","2","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","011","0000394",3477
"0205531","03","1","02","2","2","1","2","2","2","2","2","2","2","","","","","","","","","","","1","5","2","2","2","2","2","2","1","1","1","1","2","1","1","2","2","2","2","1","2","1","2","011","0000423",1715
"0205947","01","1","04","1","2","2","2","2","2","2","2","2","2","3","1","2","2","2","","","","","","","","","","","2","1","2","2","2","1","2","2","1","1","2","2","2","2","2","2","2","2","012","0000435",2930
"0206133","04","1","04","1","1","2","2","2","2","2","2","2","2","2","1","2","2","3","2","2","3","4","4","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","012","0000442",3276
"0206147","05","1","02","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","013","0000444",1920
"0206259","01","1","04","1","2","2","2","2","2","2","2","2","2","1","1","1","2","1","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","011","0000450",3437
"0206278","03","1","03","1","2","2","2","2","2","2","2","2","2","2","1","3","2","1","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","011","0000452",2536
"0206279","05","1","04","1","1","2","2","2","2","2","2","2","2","3","1","3","4","4","2","2","2","1","1","","","","","","2","1","1","2","2","2","2","2","1","1","1","2","2","2","2","2","2","2","011","0000453",3668
"0206640","03","1","04","1","2","2","2","2","1","2","2","2","2","2","2","2","4","4","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","2","2","013","0000462",4547
"0207076","11","1","03","1","1","2","2","2","2","2","2","2","2","2","2","1","2","4","2","3","2","2","4","","","","","","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","024","0000466",2856
"0207205","09","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","4","","","","","","2","2","2","2","2","2","2","2","2","1","1","1","2","1","1","2","2","2","023","0000469",2214
"0207217","15","1","03","1","2","2","2","2","2","2","2","2","2","2","2","3","4","2","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","022","0000470",2429
"0207217","17","1","03","1","2","2","2","2","2","2","2","2","2","1","3","3","3","3","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","022","0000470",1822
"0207269","03","1","06","1","1","2","2","2","2","2","2","2","2","1","5","1","2","1","3","5","4","4","4","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","014","0000472",4446
"0207438","03","1","02","1","2","2","2","2","2","2","2","2","2","1","1","3","1","1","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","015","0000476",2105
"0207503","03","1","04","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","015","0000479",4143
"0207836","13","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","2","1","2","026","0000483",3789
"0207855","11","1","03","2","2","2","2","2","2","1","2","2","2","","","","","","","","","","","1","2","4","1","4","1","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","025","0000484",3700
"0208040","09","1","06","1","2","2","2","2","2","2","2","2","2","1","1","1","1","3","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","025","0000485",4945
"0208040","20","1","04","1","2","2","2","2","2","2","2","2","2","3","2","3","3","3","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","025","0000485",4945
"0208049","07","1","02","1","2","2","2","2","2","2","2","2","2","2","1","1","2","2","","","","","","","","","","","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","2","2","2","026","0000486",1804
"0208049","09","1","03","1","2","2","2","2","2","2","2","2","2","1","2","1","1","1","","","","","","","","","","","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","026","0000486",3538
"0208113","11","1","02","1","2","2","2","2","2","2","2","2","2","3","2","4","2","4","","","","","","","","","","","1","1","1","1","1","2","2","2","1","2","2","2","2","1","2","2","2","2","025","0000487",2101
